COD_IMOVEL,NUM_AREA,COD_ESTADO,NOM_MUNICI,NUM_MODULO,TIPO_IMOVE,SITUACAO,CONDICAO_I
PA-1503457-091BF7D4F9E44574AA0E6C5A177EDBA5,33.8074000000,PA,Ipixuna do Pará,0.6147000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-81E80A2E59514577BB3C2CB776744EB6,21.7918000000,PA,Ipixuna do Pará,0.3962000000,IRU,AT,Aguardando analise
PA-1503457-D77B25085160469CA087411FA84F50A0,6.7175000000,PA,Ipixuna do Pará,0.1221000000,IRU,AT,Aguardando analise
PA-1503457-51E0D394E595417192DC057FF24FBE30,29.5611000000,PA,Ipixuna do Pará,0.5375000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-1372E73F6A2848B6876F442F1E7CC435,122.7757000000,PA,Ipixuna do Pará,2.2323000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-1142A737A3B84E0ABB14B49CF2154A69,18.5633000000,PA,Ipixuna do Pará,0.3375000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-EF9BD2F3565C46FCBB3CC3228ECF309C,78.7346000000,PA,Ipixuna do Pará,1.4315000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-E66CBCF1D02B4721BBE4AD4A3B3FF3E4,79.7658000000,PA,Ipixuna do Pará,1.4503000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-7EB690798B5D4EFA93C503F9A4BCD657,209.3705482798,PA,Ipixuna do Pará,3.8067000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-EB75D77EA76D4C24A187AF15AB7B5099,1426.5897550389,PA,Ipixuna do Pará,3.7054000000,AST,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-56E1ACE6391044AD8AB86981D629BF08,50.3916124657,PA,Ipixuna do Pará,0.9162000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-37BB5A3906564E9296EF98BA87C032F2,1325.2655000000,PA,Ipixuna do Pará,26.5053000000,IRU,AT,Aguardando analise
PA-1503457-5B2364024F214880A742F932458217F5,1426.3125000000,PA,Ipixuna do Pará,25.9330000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-D4616D066EF24483AE8B447DD6232126,1881.9551000000,PA,Ipixuna do Pará,34.2174000000,IRU,AT,Aguardando analise
PA-1503457-B488A6DD1B58485FACB96D9830DF4FB8,22.5167000000,PA,Ipixuna do Pará,0.4094000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-5C9377BF68FD44CA82E2557C46032EAA,25.6118000000,PA,Ipixuna do Pará,0.4657000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-F53008153950403BBCA921B34042054C,75.0652000000,PA,Ipixuna do Pará,1.3648000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-28EC9B0B256A44C8B148C9B52C19924F,30.5488000000,PA,Ipixuna do Pará,0.5554000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-EB63CED563204CF49CE136F8A6F393F2,178.3489000000,PA,Ipixuna do Pará,3.2427000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-EE26CFC72C7C4D979C0F31D0064C2C40,2294.3352000000,PA,Ipixuna do Pará,41.7152000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
